;date;Italy;US;Spain;Germany;Korea, South;Italy-fP;US-fP;Spain-fP;Germany-fP;Korea, South-fP
71;2020-05-07;215858;1261409;221447;169430;10822;108006.74527813712;1328302.8674638795;19033.77494038796;17717.013941307778;8304.099236194848
72;2020-05-08;217185;1288587;222857;170588;10840;114739.37827660538;1348803.5481640003;21019.693131573775;19343.7687938034;8475.594180472493
73;2020-05-09;218268;1314320;223578;171324;10874;121728.42928687036;1369184.8771878998;23203.246694251397;21111.831273068907;8648.263828252813
74;2020-05-10;219070;1334084;224350;171879;10909;128962.26549369123;1389534.2913638535;25602.012789969594;23031.930487079353;8821.991337035104
75;2020-05-11;219814;1352962;227436;172576;10936;136426.2022762691;1409922.2466504576;28234.676510841597;25115.314035622047;8996.653859274293
76;2020-05-12;221216;1375152;228030;173171;10962;144102.39726535956;1430405.3634667918;31120.997911647893;27373.713234075545;9172.122606748813
77;2020-05-13;222104;1396110;228691;174098;10991;151969.79110772425;1451029.0863096602;34281.74996093918;29819.29319034817;9348.262779899931
78;2020-05-14;223096;1423727;229540;174478;11018;160004.1082684484;1471829.9010700947;37738.62134889884;32464.585251504206;9524.933669965596
79;2020-05-15;223885;1449027;230183;175233;11037;168177.91961504173;1492837.162523443;41514.07753112277;35322.39917653904;9701.988852861
80;2020-05-16;224760;1474128;230698;175752;11050;176460.77673206571;1514074.5862457082;45631.17281598591;38405.71229512753;9879.276193083944
81;2020-05-17;225435;1493132;230698;176369;11065;184819.41485232426;1535561.456587508;50113.30633180628;41727.533140027845;10056.637976858266
82;2020-05-18;225886;1514901;231606;176551;11078;193218.0320727257;1557313.597734819;54983.914602182675;45300.73666416431;10233.911146721364
83;2020-05-19;226699;1535350;232037;177778;11110;201618.63767227205;1579344.1492669475;60266.09391548587;49137.86923063277;10410.927491408747
84;2020-05-20;227364;1559157;232555;178473;11122;209981.46439055205;1601664.1818430072;65982.14726326737;53250.92115017942;10587.513788984546
85;2020-05-21;228006;1584512;233037;179021;11142;218265.4457762173;1624283.183269058;72153.05163454017;57651.06572578189;10763.492082265062
86;2020-05-22;228658;1608653;234824;179710;11165;226428.73082482393;1647209.4401579832;78797.84424280532;62348.36522478707;10938.68001344738
87;2020-05-23;229327;1630476;235290;179986;11190;234429.24620395154;1670450.336105522;85932.93056329268;67351.44351126031;11112.891042823487
88;2020-05-24;229858;1651289;235772;180328;11206;242225.26937220563;1694012.5834584313;93571.32022078116;72667.12968361676;11285.93478338546
89;2020-05-25;230158;1670280;235400;180600;11225;249776.01216702466;1717902.4026136475;101721.80250474293;78300.07555672506;11457.617381356446
90;2020-05-26;230555;1689163;236259;181200;11265;257042.19293411463;1742125.6600661653;110388.0809490841;84252.35408252786;11627.741882704473
91;2020-05-27;231139;1707445;236259;181524;11344;263986.578358324;1766687.974213337;119567.89134875016;90523.04829992395;11796.108622019874
92;2020-05-28;231732;1730260;237906;182196;11402;270574.4876775775;1791594.796093475;129252.1352730065;97107.83995778237;11962.515652380174
93;2020-05-29;232248;1754764;238564;182922;11441;276774.23736472835;1816851.4707416354;139424.06961599225;103998.6140080145;12126.759183199882
94;2020-05-30;232664;1779214;239228;183189;11468;282557.5232305388;1842463.2836388578;150058.59562875313;111183.09242742379;12288.634075887598
95;2020-05-31;232997;1799124;239479;183410;11503;287899.7227855129;1868435.4957605184;161121.69716941883;118644.51690117171;12447.934337303908
96;2020-06-01;233197;1816479;239638;183594;11541;292780.1253259175;1894773.3699526032;172570.0790557119;126361.39769662483;12604.453562789768
